N-gram,Tần suất,dịch
legs,1,legs
lesh,1,lesh
lhas,1,lhas
kih,1,kih
kig,1,kig
kiem,1,kiem
jotako,1,jotako
jeju,1,jeju
jellybee,1,jellybee
jely,1,jely
jeonbok,1,jeonbok
jery,1,jery
jh,1,jh
jninbadinh,1,jninbadinh
jninhaibatrung,1,jninhaibatrung
jo,1,jo
jr,1,jr
karahi,1,karahi
jrink,1,jrink
juco,1,juco
julee,1,julee
juzu,1,juzu
kahari,1,kahari
kahi,1,kahi
kalina,1,kalina
kangkong,1,kangkong
kao,1,kao
jax,1,jax
jasmin,1,jasmin
japanesefood,1,japanesefood
jamza,1,jamza
hữ,1,hữ
icream,1,icream
id,1,id
ielts,1,ielts
iemr,1,iemr
ig,1,ig
ihay,1,ihay
ik,1,ik
indochina,1,indochina
infini,1,infini
innisfree,1,innisfree
ins,1,ins
instaeat,1,instaeat
instagramer,1,instagramer
instayum,1,instayum
issues,1,issues
ive,1,ive
iz,1,iz
izakya,1,izakya
kar,1,kar
karigori,1,karigori
kidsmart,1,kidsmart
khônf,1,khônf
khoảg,1,khoảg
khsan,1,khsan
khsao,1,khsao
khuong,1,khuong
khuyen,1,khuyen
khuyênd,1,khuyênd
khád,1,khád
khávh,1,khávh
kháđơn,1,kháđơn
khônng,1,khônng
karoke,1,karoke
khăc,1,khăc
khảua,1,khảua
khấ,1,khấ
khắch,1,khắch
khỏang,1,khỏang
khủg,1,khủg
kiaa,1,kiaa
kiam,1,kiam
kichikichi,1,kichikichi
khoogn,1,khoogn
khois,1,khois
khoheongon,1,khoheongon
khoarnr,1,khoarnr
kazekaze,1,kazekaze
kbaoh,1,kbaoh
kbjo,1,kbjo
kc,1,kc
kchi,1,kchi
kd,1,kd
keang,1,keang
kei,1,kei
kemf,1,kemf
kf,1,kf
kfood,1,kfood
kgas,1,kgas
khachs,1,khachs
khas,1,khas
khgian,1,khgian
khiens,1,khiens
khing,1,khing
khoaikhau,1,khoaikhau
khoangr,1,khoangr
looks,1,looks
loved,1,loved
mạctháitổ,1,mạctháitổ
miri,1,miri
milano,1,milano
milou,1,milou
minhao,1,minhao
minhf,1,minhf
minhg,1,minhg
minigame,1,minigame
minutes,1,minutes
mirai,1,mirai
miraiizakaya,1,miraiizakaya
mirin,1,mirin
mif,1,mif
mirine,1,mirine
misaghi,1,misaghi
mivanthan,1,mivanthan
mixfood,1,mixfood
miéng,1,miéng
miêmgj,1,miêmgj
miẹng,1,miẹng
miếnh,1,miếnh
mja,1,mja
mika,1,mika
midori,1,midori
loviest,1,loviest
meete,1,meete
mb,1,mb
mcdonal,1,mcdonal
mchef,1,mchef
meantwinsfood,1,meantwinsfood
meatball,1,meatball
meatlovers,1,meatlovers
med,1,med
medu,1,medu
mee,1,mee
megamall,1,megamall
midnh,1,midnh
mehico,1,mehico
merri,1,merri
metanvat,1,metanvat
mfinh,1,mfinh
mgon,1,mgon
mhi,1,mhi
mhieefu,1,mhieefu
mhìn,1,mhìn
mic,1,mic
mjnhf,1,mjnhf
mkt,1,mkt
moca,1,moca
mónăn,1,mónăn
mé,1,mé
mìng,1,mìng
mìnhh,1,mìnhh
mìnhđi,1,mìnhđi
mìnhđiăn,1,mìnhđiăn
mìnhđể,1,mìnhđể
mìnn,1,mìnn
míêng,1,míêng
mónhue,1,mónhue
môtip,1,môtip
moeis,1,moeis
mùu,1,mùu
mú,1,mú
măc,1,măc
mănj,1,mănj
mđích,1,mđích
mĩx,1,mĩx
mơx,1,mơx
mưc,1,mưc
mươt,1,mươt
mãii,1,mãii
mâý,1,mâý
mátcha,1,mátcha
máa,1,máa
moiix,1,moiix
mojitea,1,mojitea
momg,1,momg
mouj,1,mouj
movj,1,movj
muac,1,muac
muachung,1,muachung
muc,1,muc
mukbang,1,mukbang
muì,1,muì
muói,1,muói
mw,1,mw
mxh,1,mxh
mydeli,1,mydeli
mytom,1,mytom
màaa,1,màaa
màlà,1,màlà
màđến,1,màđến
màưng,1,màưng
mayonese,1,mayonese
mayonesai,1,mayonesai
mayon,1,mayon
lđc,1,lđc
lòe,1,lòe
lòg,1,lòg
lòngtrần,1,lòngtrần
lóa,1,lóa
lôg,1,lôg
lõ,1,lõ
lă,1,lă
lăms,1,lăms
lđ,1,lđ
lđt,1,lđt
lạnhh,1,lạnhh
lũy,1,lũy
lưta,1,lưta
lươif,1,lươif
lươngh,1,lươngh
lươngj,1,lươngj
lườiz,1,lườiz
lượnc,1,lượnc
lạiđể,1,lạiđể
lạiđểđược,1,lạiđểđược
lâbf,1,lâbf
làđiđổi,1,làđiđổi
làij,1,làij
luọng,1,luọng
lovjng,1,lovjng
lowcab,1,lowcab
lowcard,1,lowcard
lozihcm,1,lozihcm
lozivietnam,1,lozivietnam
lt,1,lt
ltk,1,ltk
ltrc,1,ltrc
lumchef,1,lumchef
lunches,1,lunches
lunchset,1,lunchset
lunchtime,1,lunchtime
luoc,1,luoc
lureviewtrasua,1,lureviewtrasua
luv,1,luv
luóng,1,luóng
luô,1,luô
luônaj,1,luônaj
luôncó,1,luôncó
lạj,1,lạj
lạoi,1,lạoi
maxiburger,1,maxiburger
manyo,1,manyo
maintained,1,maintained
maiyonaise,1,maiyonaise
maiyone,1,maiyone
mak,1,mak
makeup,1,makeup
mami,1,mami
mandoo,1,mandoo
manocanh,1,manocanh
manon,1,manon
maps,1,maps
lảbtả,1,lảbtả
marks,1,marks
marriot,1,marriot
marshmallows,1,marshmallows
mashalow,1,mashalow
mashmalow,1,mashmalow
mastcha,1,mastcha
masterchef,1,masterchef
matchiato,1,matchiato
matchmisu,1,matchmisu
mainstream,1,mainstream
maii,1,maii
maggi,1,maggi
madeinvn,1,madeinvn
lầ,1,lầ
lẩi,1,lẩi
lẩuhảisảntomato,1,lẩuhảisảntomato
lắmạ,1,lắmạ
lể,1,lể
lệc,1,lệc
lọcncx,1,lọcncx
lổ,1,lổ
lụo,1,lụo
lừoi,1,lừoi
lựac,1,lựac
lựong,1,lựong
lỳ,1,lỳ
macada,1,macada
machiatto,1,machiatto
machinco,1,machinco
machino,1,machino
madarin,1,madarin
madebyvii,1,madebyvii
𝙎𝙖𝙢,1,𝙎𝙖𝙢
